51.50853-0.12574	51.50853	0.12574	2001	1	13	6:00:00 PM	4.35	1.08	1024.319	79.212	4.069	1.95	5.83	100.63
51.50853-0.12574	51.50853	0.12574	2001	1	13	9:00:00 PM	4.98	3.35	1024.941	89.299	4.169	3.16	10.88	102.78
51.50853-0.12574	51.50853	0.12574	2001	1	14	12:00:00 AM	5.27	3.54	1025.537	88.501	4.643	8.10	15.33	109.58
51.50853-0.12574	51.50853	0.12574	2001	1	14	3:00:00 AM	5.31	3.38	1026.146	87.684	4.706	4.28	1.03	102.61
51.50853-0.12574	51.50853	0.12574	2001	1	14	6:00:00 AM	5.21	2.95	1028.083	85.1	4.775	24.09	14.07	103.12
51.50853-0.12574	51.50853	0.12574	2001	1	14	9:00:00 AM	6.35	1.95	1028.991	73.4	4.44	9.92	0.38	105.96
51.50853-0.12574	51.50853	0.12574	2001	1	14	12:00:00 PM	6.34	0.75	1029.077	67.7	4.289	22.72	6.26	108.48
51.50853-0.12574	51.50853	0.12574	2001	1	14	3:00:00 PM	4.36	0.04	1030.276	73.6	3.092	21.73	5.79	100.56
51.50853-0.12574	51.50853	0.12574	2001	1	14	6:00:00 PM	-0.63	-1.73	1031.222	92.271	1.857	12.63	-2.84	105.46
51.50853-0.12574	51.50853	0.12574	2001	1	14	9:00:00 PM	0.64	-1.55	1031.344	85.2	2.033	0.30	12.36	104.70
51.50853-0.12574	51.50853	0.12574	2001	1	15	12:00:00 AM	-1.04	-2.35	1029.853	91.214	2.643	22.40	15.74	101.22
51.50853-0.12574	51.50853	0.12574	2001	1	15	3:00:00 AM	4.27	2.53	1026.077	88.805	6.364	13.29	0.51	101.46
51.50853-0.12574	51.50853	0.12574	2001	1	15	6:00:00 AM	4.32	3.81	1028.058	96.659	3.348	2.99	3.83	101.89
51.50853-0.12574	51.50853	0.12574	2001	1	15	9:00:00 AM	8.27	6.53	1027.928	89.162	6.529	19.33	15.16	104.98
51.50853-0.12574	51.50853	0.12574	2001	1	15	12:00:00 PM	6.89	4.56	1024.959	85.221	7.289	9.56	3.94	103.09
51.50853-0.12574	51.50853	0.12574	2001	1	15	3:00:00 PM	8.31	5.65	1023.264	83.6	5.588	4.67	10.28	106.35
51.50853-0.12574	51.50853	0.12574	2001	1	15	6:00:00 PM	7.49	6.42	1019.235	93.061	4.457	21.77	10.20	109.35
51.50853-0.12574	51.50853	0.12574	2001	1	15	9:00:00 PM	5.19	1.52	1019.735	77.499	5.207	9.06	9.79	103.42
51.50853-0.12574	51.50853	0.12574	2001	1	16	12:00:00 AM	1.44	-1.47	1029.248	81.078	5.827	16.19	5.53	103.58
51.50853-0.12574	51.50853	0.12574	2001	1	16	3:00:00 AM	1.13	-4.06	1037.585	68.245	4.603	11.99	6.14	109.96
51.50853-0.12574	51.50853	0.12574	2001	1	16	6:00:00 AM	4.56	1.4	1002.905	80.318	3.149	1.50	11.64	102.25
51.50853-0.12574	51.50853	0.12574	2001	1	16	9:00:00 AM	4.47	2.55	1002.677	87.2	4.389	0.74	8.70	102.42
51.50853-0.12574	51.50853	0.12574	2001	1	16	12:00:00 PM	3.95	0.85	1004.953	80.486	5.24	2.35	9.06	103.17
51.50853-0.12574	51.50853	0.12574	2001	1	16	3:00:00 PM	3.58	-0.43	1009.131	75.457	6.076	16.93	16.47	104.19
51.50853-0.12574	51.50853	0.12574	2001	1	16	6:00:00 PM	3.91	-5.05	1012.808	52	5.947	23.41	1.21	109.22
51.50853-0.12574	51.50853	0.12574	2001	1	16	9:00:00 PM	4.22	-4.53	1015.054	52.9	5.371	19.80	16.21	104.33
51.50853-0.12574	51.50853	0.12574	2001	1	17	12:00:00 AM	2.69	-4.44	1017.266	59.4	4.037	6.18	12.65	104.19
51.50853-0.12574	51.50853	0.12574	2001	1	17	3:00:00 AM	1.93	-4.49	1018.806	62.6	2.618	0.43	8.67	107.37
51.50853-0.12574	51.50853	0.12574	2001	1	17	6:00:00 AM	1.66	-4.25	1019.678	64.9	1.847	21.51	12.53	103.25
51.50853-0.12574	51.50853	0.12574	2001	1	17	9:00:00 AM	1.35	-4.45	1019.52	65.333	0.936	13.44	12.51	105.12
51.50853-0.12574	51.50853	0.12574	2001	1	17	12:00:00 PM	1.06	-4.82	1018.551	64.837	1.514	10.68	18.95	105.23
51.50853-0.12574	51.50853	0.12574	2001	1	17	3:00:00 PM	1.69	-4.25	1018.325	64.8	2.461	15.62	-1.63	101.81
51.50853-0.12574	51.50853	0.12574	2001	1	17	6:00:00 PM	4.82	-1.95	1017.665	61.6	3.897	1.56	19.58	100.94
51.50853-0.12574	51.50853	0.12574	2001	1	17	9:00:00 PM	5.01	-1.55	1015.215	62.7	4.628	0.11	11.71	104.57
51.50853-0.12574	51.50853	0.12574	2001	1	18	12:00:00 AM	3.78	-1.85	1014.237	66.6	4.533	6.16	15.54	108.30
51.50853-0.12574	51.50853	0.12574	2001	1	18	3:00:00 AM	4.44	-1.45	1013.104	65.6	5.126	5.70	2.33	109.44
51.50853-0.12574	51.50853	0.12574	2001	1	18	6:00:00 AM	4.29	0.35	1011.437	75.6	6.026	3.96	15.18	105.11
51.50853-0.12574	51.50853	0.12574	2001	1	18	9:00:00 AM	4.4	2.05	1010.105	85	5.701	24.66	11.32	104.87
51.50853-0.12574	51.50853	0.12574	2001	1	18	12:00:00 PM	4.54	2.39	1008.505	86.014	5.133	1.72	10.52	109.62
51.50853-0.12574	51.50853	0.12574	2001	1	18	3:00:00 PM	4.86	2.87	1008.321	86.491	4.812	16.82	6.60	107.52
51.50853-0.12574	51.50853	0.12574	2001	1	18	6:00:00 PM	6.2	4.13	1007.995	86.9	4.108	1.80	19.49	102.82
51.50853-0.12574	51.50853	0.12574	2001	1	18	9:00:00 PM	7.03	4.75	1007.228	85.5	3.758	5.98	15.36	105.20
51.50853-0.12574	51.50853	0.12574	2001	1	19	12:00:00 AM	5.5	4.45	1007.935	92.9	2.534	15.36	14.79	104.80
51.50853-0.12574	51.50853	0.12574	2001	1	19	3:00:00 AM	5.38	4.45	1008.708	93.8	1.342	9.97	14.30	107.67
51.50853-0.12574	51.50853	0.12574	2001	1	19	6:00:00 AM	4.81	3.99	1009.543	94.3	1.427	3.58	-1.43	104.05
51.50853-0.12574	51.50853	0.12574	2001	1	19	9:00:00 AM	4.02	3.25	1009.79	94.5	1.82	8.82	11.06	104.92
51.50853-0.12574	51.50853	0.12574	2001	1	19	12:00:00 PM	3.43	2.63	1010.811	94.911	2.189	3.53	13.63	100.02
51.50853-0.12574	51.50853	0.12574	2001	1	19	3:00:00 PM	3.61	2.74	1013.361	94.207	2.542	16.50	8.44	108.70
